Percentual (%);Percentual (%);Sim;Não;Não sabe;Não respondeu
TOTAL;TOTAL;90;10;0;0
ÁREA;Urbana;91;9;0;0
ÁREA;Rural;83;17;0;0
REGIÃO;Sudeste;90;10;0;0
REGIÃO;Nordeste;88;12;0;0
REGIÃO;Sul;93;7;0;0
REGIÃO;Norte;89;11;0;0
REGIÃO;Centro-Oeste;91;8;0;0
SEXO;Masculino;88;12;0;0
SEXO;Feminino;92;8;0;0
COR OU RAÇA;Branca;91;9;0;0
COR OU RAÇA;Preta;87;13;0;0
COR OU RAÇA;Parda;91;9;0;0
COR OU RAÇA;Amarela;85;14;1;0
COR OU RAÇA;Indígena;88;12;0;0
COR OU RAÇA;Não respondeu;66;34;0;0
GRAU DE INSTRUÇÃO;Analfabeto/Educação Infantil;35;65;0;0
GRAU DE INSTRUÇÃO;Fundamental;81;19;0;0
GRAU DE INSTRUÇÃO;Médio;97;3;0;0
GRAU DE INSTRUÇÃO;Superior;99;1;0;0
FAIXA ETÁRIA;De 10 a 15 anos;98;2;0;0
FAIXA ETÁRIA;De 16 a 24 anos;99;1;0;0
FAIXA ETÁRIA;De 25 a 34 anos;99;1;0;0
FAIXA ETÁRIA;De 35 a 44 anos;97;3;0;0
FAIXA ETÁRIA;De 45 a 59 anos;92;8;0;0
FAIXA ETÁRIA;De 60 anos ou mais;62;38;0;0
RENDA FAMILIAR;Até 1 SM;84;15;0;0
RENDA FAMILIAR;Mais de 1 SM até 2 SM;89;11;0;0
RENDA FAMILIAR;Mais de 2 SM até 3 SM;93;7;0;0
RENDA FAMILIAR;Mais de 3 SM até 5 SM;97;3;0;0
RENDA FAMILIAR;Mais de 5 SM até 10 SM;99;1;0;0
RENDA FAMILIAR;Mais de 10 SM;89;11;0;0
RENDA FAMILIAR;Não tem renda;83;17;0;0
RENDA FAMILIAR;Não sabe;88;12;0;0
RENDA FAMILIAR;Não respondeu;88;11;0;1
CLASSE SOCIAL;A;99;1;0;0
CLASSE SOCIAL;B;97;3;0;0
CLASSE SOCIAL;C;92;8;0;0
CLASSE SOCIAL;DE;81;19;0;0
CONDIÇÃO DE ATIVIDADE;Na força de trabalho;94;6;0;0
CONDIÇÃO DE ATIVIDADE;Fora da força de trabalho;84;16;0;0
TIPO DE OCUPAÇÃO;Formal;97;3;0;0
TIPO DE OCUPAÇÃO;Informal;90;10;0;0
