Percentual (%);Percentual (%);Sim;Não;Não sabe;Não respondeu
TOTAL;TOTAL;86;14;0;0
ÁREA;Urbana;87;13;0;0
ÁREA;Rural;79;21;0;0
REGIÃO;Sudeste;85;15;0;0
REGIÃO;Nordeste;87;13;0;0
REGIÃO;Sul;80;20;0;0
REGIÃO;Norte;89;11;0;0
REGIÃO;Centro-Oeste;90;10;0;0
SEXO;Masculino;85;15;0;0
SEXO;Feminino;86;14;0;0
COR OU RAÇA;Branca;86;14;0;0
COR OU RAÇA;Preta;83;17;0;0
COR OU RAÇA;Parda;87;13;0;0
COR OU RAÇA;Amarela;88;12;0;0
COR OU RAÇA;Indígena;84;16;0;0
COR OU RAÇA;Não respondeu;62;38;0;0
GRAU DE INSTRUÇÃO;Analfabeto/Educação Infantil;34;65;0;0
GRAU DE INSTRUÇÃO;Fundamental;76;24;0;0
GRAU DE INSTRUÇÃO;Médio;96;4;0;0
GRAU DE INSTRUÇÃO;Superior;97;3;0;0
FAIXA ETÁRIA;De 10 a 15 anos;97;3;0;0
FAIXA ETÁRIA;De 16 a 24 anos;98;2;0;0
FAIXA ETÁRIA;De 25 a 34 anos;97;3;0;0
FAIXA ETÁRIA;De 35 a 44 anos;95;5;0;0
FAIXA ETÁRIA;De 45 a 59 anos;86;14;0;0
FAIXA ETÁRIA;De 60 anos ou mais;48;52;0;0
RENDA FAMILIAR;Até 1 SM;83;17;0;0
RENDA FAMILIAR;Mais de 1 SM até 2 SM;83;17;0;0
RENDA FAMILIAR;Mais de 2 SM até 3 SM;89;11;0;0
RENDA FAMILIAR;Mais de 3 SM até 5 SM;94;6;0;0
RENDA FAMILIAR;Mais de 5 SM até 10 SM;96;4;0;0
RENDA FAMILIAR;Mais de 10 SM;98;2;0;0
RENDA FAMILIAR;Não tem renda;86;14;0;0
RENDA FAMILIAR;Não sabe;73;27;0;0
RENDA FAMILIAR;Não respondeu;81;19;0;0
CLASSE SOCIAL;A;95;5;0;0
CLASSE SOCIAL;B;94;6;0;0
CLASSE SOCIAL;C;88;12;0;0
CLASSE SOCIAL;DE;75;25;0;0
CONDIÇÃO DE ATIVIDADE;Na força de trabalho;91;9;0;0
CONDIÇÃO DE ATIVIDADE;Fora da força de trabalho;77;23;0;0
